카테고리,글제목,게임이름,출시일,가격,링크,한글화,플레이타임,게시글링크
게임,[게임]외계인이 지구에 온 이유,Roadside Research,(),아직 모름,https://store.steampowered.com/app/3643170/Roadside_Research/,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19551
게임,[게임]퀄 좋은 신작 메트로바니아 게임 MIO: Memories in Orbit,MIO: Memories in Orbit,26년 1월 26일,"21,500",https://store.steampowered.com/app/1672810/MIO_Memories_in_Orbit/,O,15시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19510
게임,[게임]테니스 게임,Tennis Elbow 4,때문에 신작게임이라 생각할수있는데,"₩ 26,350(-15%) 0206기준",https://store.steampowered.com/app/760640/Tennis_Elbow_4/#app_reviews_hash,O,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19491
공겜,[공겜]시청자 시점으로 스트리머 훈수하는 게임 I Hate My Waifu Streamer,I Hate My Waifu Streamer,2025년 9월 18일,"11,000원",https://store.steampowered.com/app/2988620/I_Hate_My_Waifu_Streamer/,O,메인 2~4시간,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19484
게임,[게임]Log Riders 2월13일 출시예정(2인 협동똥겜),Log Riders,(),-,https://store.steampowered.com/app/4082750/Log_Riders/,o,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19481
게임,[게임]버컴합방용 2월 출시예정 합방용 게임들,Woofy Run,(),모름,https://store.steampowered.com/app/3847070/Woofy_Run/,지원 O,경주 형식,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19450
공겜,[공겜]1인 공겜) 공포의 일기장,love sam,(),5600원,https://store.steampowered.com/app/1073820/_/,O,2시간 가량,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19437
게임,[게임]수상한 편의점,-,(),"5,000",https://store.steampowered.com/app/3947830/_/,0,30분 정도,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19420
게임,[게임]평범한 스시집 알바 게임,the sushi house,(),"5,600",https://store.steampowered.com/app/3687470/The_Sushi_House/,0,2시간 정도,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19419
게임,[게임]테스트플레이를 너무 게을리한 RPG,테스트플레이를 너무 게을리한 RPG,(),0원,https://caswac1.tistory.com/entry/%ED%85%8C%EC%8A%A4%ED%8A%B8-%ED%94%8C%EB%A0%88%EC%9D%B4%EB%A5%BC-%EB%84%88%EB%AC%B4-%EA%B2%8C%EC%9D%84%EB%A6%AC-%ED%95%9C-RPG,0,1시간 30분정도,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19418
게임,[게임]병원에서 하는 벅샷룰렛,사이드 이펙츠,(),"5,600",https://store.steampowered.com/app/3799100/SIDE_EFFECTS/,0,1판당 10분정도,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19417
게임,[게임]지렁이 레이싱 게임,race worms,(),"6,140",https://store.steampowered.com/app/3653330/RaceWorms/,X,제한 없음,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19416
공겜,[공겜]절대 그 비버를 화나게 하지마,Dont mess with bober,(),"5,600",https://store.steampowered.com/app/3177010/Dont_Mess_With_Bober/,0,1시간 미만,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19415
게임,[게임]ai 속 사람 찾아내서 뚜까패는게임,Unspotable,(),"11,000",https://store.steampowered.com/app/1243960/Unspottable/,o,-,https://cafe.naver.com/ArticleRead.nhn?clubid=27646284&articleid=19408
